2015-04-08 12:57:02;801228;1412
2015-04-08 12:57:03;801229;986
2015-04-08 12:57:03;801230;1066
2015-04-08 12:57:04;801231;892
2015-04-08 12:57:05;801232;905
2015-04-08 12:57:06;801233;976
2015-04-08 12:57:07;801234;1120
2015-04-08 12:57:07;801235;947
2015-04-08 12:57:08;801236;901
2015-04-08 12:57:09;801237;911
2015-04-08 12:57:10;801238;1054
2015-04-08 12:57:10;801239;880
2015-04-08 12:57:11;801240;896
2015-04-08 12:57:12;801241;911
2015-04-08 12:57:13;801242;918
2015-04-08 12:57:14;801243;875
2015-04-08 12:57:14;801244;891
2015-04-08 12:57:15;801245;906
2015-04-08 12:57:16;801246;856
2015-04-08 12:57:17;801247;870
2015-04-08 12:57:18;801248;1072
2015-04-08 12:57:19;801249;961
2015-04-08 12:57:19;801250;913
2015-04-08 12:57:20;801251;866
2015-04-08 12:57:21;801252;883
2015-04-08 12:57:22;801253;833
2015-04-08 12:57:22;801254;911
2015-04-08 12:57:23;801255;924
2015-04-08 12:57:24;801256;871
2015-04-08 12:57:25;801257;891
2015-04-08 12:57:26;801258;843
2015-04-08 12:57:27;801259;1106
2015-04-08 12:57:27;801260;869
2015-04-08 12:57:28;801261;885
2015-04-08 12:57:29;801262;899
2015-04-08 12:57:30;801263;1099
2015-04-08 12:57:30;801264;929
2015-04-08 12:57:31;801265;941
2015-04-08 12:57:32;801266;957
2015-04-08 12:57:33;801267;1033
2015-04-08 12:57:34;801268;859
2015-04-08 12:57:34;801269;940
2015-04-08 12:57:35;801270;886
2015-04-08 12:57:36;801271;840
2015-04-08 12:57:37;801272;854
2015-04-08 12:57:38;801273;871
2015-04-08 12:57:38;801274;884
2015-04-08 12:57:39;801275;901
2015-04-08 12:57:40;801276;914
2015-04-08 12:57:41;801277;864
2015-04-08 12:57:42;801278;881
2015-04-08 12:57:42;801279;895
2015-04-08 12:57:43;801280;1032
2015-04-08 12:57:44;801281;921
2015-04-08 12:57:45;801282;939
